epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,776.54,1.14063,2.45419,0.91847,0.78133,0.77993,0.83023,0.57118,1.03825,0.93322,0.85668,0.00332606,0.00332606,0.00332606
2,1492.78,1.1142,0.9417,0.89034,0.81097,0.71639,0.80484,0.55323,1.05277,1.1761,0.86732,0.00659346,0.00659346,0.00659346
3,2176.98,1.17342,1.03091,0.90502,0.79985,0.70286,0.79974,0.50456,1.2425,1.03019,0.92164,0.00979487,0.00979487,0.00979487
4,2848.33,1.19744,1.09211,0.91631,0.78088,0.60706,0.70877,0.46222,1.21689,1.39106,0.9218,0.009703,0.009703,0.009703
5,3522.36,1.13503,0.98607,0.9162,0.77048,0.75046,0.81814,0.55667,1.07852,0.92471,0.88714,0.009604,0.009604,0.009604
6,4200.41,1.06884,0.88105,0.89696,0.80963,0.80479,0.85615,0.61475,0.95128,0.82577,0.8617,0.009505,0.009505,0.009505
7,4881.47,1.04876,0.84813,0.89039,0.80881,0.84162,0.87564,0.61781,0.90935,0.82845,0.85207,0.009406,0.009406,0.009406
8,5564.4,1.02619,0.81392,0.88734,0.81456,0.84622,0.88977,0.63214,0.94177,0.79532,0.862,0.009307,0.009307,0.009307
9,6252.18,0.99248,0.79562,0.88029,0.84355,0.85267,0.9032,0.64857,0.91285,0.74839,0.8534,0.009208,0.009208,0.009208
10,6936.2,0.967,0.77201,0.87974,0.80891,0.82245,0.87816,0.6261,0.90088,0.77857,0.85338,0.009109,0.009109,0.009109
11,7622.26,0.94748,0.73657,0.8714,0.80647,0.89792,0.90408,0.67201,0.85498,0.7376,0.84523,0.00901,0.00901,0.00901
12,8307.82,0.93453,0.72926,0.87166,0.83155,0.83702,0.88235,0.6294,0.94106,0.82404,0.86607,0.008911,0.008911,0.008911
13,8984.58,0.90859,0.68817,0.86251,0.81871,0.88122,0.90693,0.68372,0.84798,0.64904,0.84381,0.008812,0.008812,0.008812
14,9659.85,0.91101,0.69041,0.86175,0.8246,0.88744,0.91414,0.69574,0.82376,0.65291,0.84542,0.008713,0.008713,0.008713
15,10336.8,0.87948,0.66225,0.85594,0.82362,0.89042,0.92332,0.70268,0.80599,0.61673,0.83966,0.008614,0.008614,0.008614
16,11014.2,0.88079,0.67673,0.85139,0.84618,0.8849,0.9306,0.70086,0.82224,0.63127,0.84457,0.008515,0.008515,0.008515
17,11685.9,0.86455,0.64013,0.85177,0.85536,0.84402,0.91414,0.68776,0.80213,0.64083,0.83565,0.008416,0.008416,0.008416
18,12357.4,0.87125,0.64705,0.85551,0.85772,0.87201,0.92701,0.72954,0.75654,0.5953,0.83233,0.008317,0.008317,0.008317
19,13031.7,0.8465,0.62682,0.85154,0.84315,0.87612,0.92196,0.71478,0.7736,0.61755,0.8305,0.008218,0.008218,0.008218
20,13703.7,0.83336,0.6154,0.84927,0.84376,0.89015,0.93073,0.70982,0.80053,0.62805,0.83932,0.008119,0.008119,0.008119
21,14376.7,0.81904,0.60663,0.84543,0.8694,0.88122,0.92433,0.70798,0.77075,0.59578,0.83996,0.00802,0.00802,0.00802
22,15047.6,0.82053,0.60147,0.84137,0.84305,0.8903,0.92073,0.72707,0.75589,0.59307,0.83411,0.007921,0.007921,0.007921
23,15720.9,0.80109,0.58769,0.84523,0.83567,0.885,0.92177,0.7202,0.75219,0.61044,0.83003,0.007822,0.007822,0.007822
24,16398,0.80657,0.58585,0.84248,0.85671,0.89042,0.93597,0.73525,0.74448,0.57315,0.82837,0.007723,0.007723,0.007723
25,17067.4,0.80124,0.58279,0.83968,0.84605,0.89567,0.93086,0.73379,0.72824,0.56068,0.82729,0.007624,0.007624,0.007624
26,17740.5,0.79003,0.5631,0.84117,0.84939,0.90362,0.93216,0.72835,0.73418,0.58246,0.82605,0.007525,0.007525,0.007525
27,18415.2,0.78655,0.55458,0.84144,0.86329,0.88582,0.93333,0.72828,0.71572,0.56219,0.8249,0.007426,0.007426,0.007426
28,19092.1,0.78354,0.55746,0.83689,0.82711,0.91188,0.93063,0.74036,0.7137,0.55224,0.82447,0.007327,0.007327,0.007327
29,19784.9,0.77741,0.55812,0.83627,0.89862,0.88152,0.9482,0.74616,0.70947,0.51957,0.82466,0.007228,0.007228,0.007228
30,20471.6,0.77038,0.55539,0.83785,0.87408,0.89687,0.94106,0.74039,0.72356,0.54839,0.82474,0.007129,0.007129,0.007129
31,21154.7,0.75928,0.53779,0.83186,0.88964,0.87588,0.93747,0.7451,0.71051,0.52811,0.82519,0.00703,0.00703,0.00703
32,21840.6,0.74947,0.53334,0.83019,0.87909,0.90608,0.94602,0.75651,0.69139,0.50999,0.82365,0.006931,0.006931,0.006931
33,22526.1,0.74552,0.51785,0.83535,0.88194,0.89426,0.94161,0.74955,0.69094,0.51405,0.81962,0.006832,0.006832,0.006832
34,23213.2,0.74331,0.52485,0.835,0.87942,0.88648,0.9387,0.75678,0.68887,0.5225,0.82363,0.006733,0.006733,0.006733
